id,tweet,label,length,text_short,length_short,model_output,prob_offensive
71446,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",NOT,51,"5/5: @USER The time is right for this House to respond to the concerns of all Canadians. Four out of five Canadians support stronger gun control and with good reason.” #guncontrol #cdnpoli #cdnhist""",51,"tensor([[ 0.8703, -0.9862]])",not-offensive
23958,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,NOT,35,@USER Besides Jax’s mom and maybe Ope he is hands down my favorite he’s like the only good person on the show 😂,35,"tensor([[ 1.2593, -1.2807]])",not-offensive
56117,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,TIN,51,@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL,51,"tensor([[-0.6514,  0.6035]])",offensive
67757,@USER @USER You are correct.,NOT,10,@USER @USER You are correct.,10,"tensor([[ 1.5875, -1.5083]])",not-offensive
82904,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,TIN,36,@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔,36,"tensor([[-1.0413,  0.9592]])",offensive
63236,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,NOT,43,@USER Been a Willie fan since before most of you were born....LOVE that he is holding a rally with Beto.... Exactly WHICH fans are furious?  Could you give some specifics? URL,43,"tensor([[ 1.3977, -1.4060]])",not-offensive
83484,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",NOT,35,"South Korean Official: “Leaders will discuss specific denuke measures in Pyongyang”""  URL #TCOT #MAGA #RedNationRising""",35,"tensor([[ 1.0198, -1.1621]])",not-offensive
91252,@USER I feel like he is better chasing the title,NOT,13,@USER I feel like he is better chasing the title,13,"tensor([[ 1.3957, -1.3265]])",not-offensive
25440,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,UNT,72,@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?,72,"tensor([[ 0.1443, -0.1659]])",not-offensive
81613,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,NOT,24,@USER Glad to see your friends are supporting Metis rights as much as you are supporting Zionists. URL,24,"tensor([[ 1.2406, -1.3721]])",not-offensive
82333,@USER Yes you are but I was asking what is it about the movie ?🤷‍♂️👀,NOT,28,@USER Yes you are but I was asking what is it about the movie?🤷‍♂️👀,28,"tensor([[ 1.5896, -1.6315]])",not-offensive
12609,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,TIN,42,The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK,42,"tensor([[-0.1533,  0.2021]])",offensive
13017,@USER No wonder he is being apologetic and more social these day....,NOT,17,@USER No wonder he is being apologetic and more social these day....,17,"tensor([[ 1.2529, -1.2102]])",not-offensive
18129,@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL,NOT,50,@USER @USER @USER Any updates re ending your blatant #racism as #Windrush &amp; #Grenfell proves you are  @USER @USER #alloutpolitics #politicslive #PMQs @USER URL,50,"tensor([[ 0.6360, -0.6782]])",not-offensive
70380,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.,NOT,63,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Do you know what’s going to happen now?  I’m going to have to lay in bed and cry while I listen to Kelly Clarkson. Thanks free speech antifa.,63,"tensor([[ 0.9408, -0.8188]])",not-offensive
14726,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,TIN,30,@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke,30,"tensor([[-0.2876,  0.1998]])",offensive
74358,@USER Blow hard,NOT,6,@USER Blow hard,6,"tensor([[ 0.4148, -0.3564]])",not-offensive
82599,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game,NOT,25,@USER @USER @USER That means you are a max lvl. Twitter user and maybe should try a new game,25,"tensor([[ 0.9120, -0.9304]])",not-offensive
78367,@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.,NOT,47,@USER @USER @USER @USER @USER Socialists politics that stand up for the downtrodden. And well done for conflating criticism of Israel with anti semitism. You are also part of the problem.,47,"tensor([[ 0.8002, -0.8688]])",not-offensive
70999,.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh,NOT,66,.@USER @USER @USER @USER @USER  PLEASE vote NO on Kavanaugh. He is not fit for SCOTUS and allegations about women and shady financials should disqualify him.    #RuleOfLaw matters. #MeToo #CountryOverParty #WithdrawKavanaugh  #StopKavanaugh,66,"tensor([[ 0.7145, -0.6367]])",not-offensive
29439,@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp; #THEUSA     😀 🗽🗽🗽 😀,NOT,121,@USER Kathy the Patriot🗽  YOU HAVE TO LOVE our GREAT PRESIDENT TRUMP!!!  A SPINE OF U.S. STEEL!! CHANGING IT! ON TRADE &amp; EVERYTHING FOR AMERICANS!! #AMERICAFIRST #USA #MAGA #LEADERSHIP &amp; #RESPECT #ECONOMY #JOBS #PEACEthruSTRENGTH #GOD #BLESS #TRUMP &amp,100,"tensor([[ 1.0736, -1.2852]])",not-offensive
32305,@USER Holy moly!! If the catholic people haven't been awakened by this ..... #FalseProphet  #Lunatic,NOT,30,@USER Holy moly!! If the catholic people haven't been awakened by this..... #FalseProphet  #Lunatic,29,"tensor([[ 0.4474, -0.4427]])",not-offensive
77243,@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,NOT,31,@USER Lol yeah per dina he is There everyday per claudia no horse got vet care unless it was for donation example limping etc,31,"tensor([[ 0.9375, -0.8346]])",not-offensive
73205,@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.,NOT,61,@USER @USER @USER What a surprise.... same as antifa. BLM and so on and so on. Soros is Americas worst enemy in HISTORY. He believes the only way to take down the USA is from withing. And hes right. But it's not gunna happen.,61,"tensor([[ 0.3082, -0.3283]])",not-offensive
47311,@USER Me too! Her wedding was the best! She is very pretty!,NOT,18,@USER Me too! Her wedding was the best! She is very pretty!,18,"tensor([[ 1.9274, -1.8049]])",not-offensive
48553,@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.,NOT,32,@USER @USER No conflict here—don’t look at this.  #Soros involved in violent left agenda of Antifa also.,32,"tensor([[ 1.0524, -1.0352]])",not-offensive
75689,@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes,NOT,31,@USER @USER @USER URL any of your announcements every come to fruition or is it basically stealing Labour's ideas to get a few more votes,31,"tensor([[ 0.9398, -1.0448]])",not-offensive
84102,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,TIN,32,4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???,32,"tensor([[-0.3727,  0.2600]])",offensive
10607,#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL,NOT,29,#GUNCONTROL advocates must STOP falling all over themselves to assure electorate that they too love the HORRIFIC 2A URL,29,"tensor([[ 0.6219, -0.6265]])",not-offensive
43913,@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?,NOT,39,@USER @USER Hi there! We love what a huge fan of Camila Mendes you are! Would it be alright if we used your tweet about her in our promotional material?,39,"tensor([[ 1.9058, -1.9446]])",not-offensive
98992,@USER Fuck off,TIN,6,@USER Fuck off,6,"tensor([[-1.1550,  1.0969]])",offensive
92056,@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion,NOT,41,@USER Certainly a weird view toward the Margaret Sanger geonicidal philosophy of aborting minorities.  I’d like to know if the black population that suffers the most shares her opinion,41,"tensor([[ 0.3536, -0.2999]])",not-offensive
33853,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",TIN,47,"@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing""""",47,"tensor([[-1.0790,  0.9995]])",offensive
75215,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,TIN,23,@USER @USER She is useless.  Attempts to do the right thing but never follows through.,23,"tensor([[-0.4481,  0.4797]])",offensive
96218,#WalkAway liberals......Your party is POISON. URL,NOT,15,#WalkAway liberals......Your party is POISON. URL,15,"tensor([[ 0.2972, -0.3448]])",not-offensive
57013,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,TIN,24,@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.,24,"tensor([[-0.8971,  0.8180]])",offensive
20883,@USER You are lying. Stick with the facts. We pay more than that now.,NOT,20,@USER You are lying. Stick with the facts. We pay more than that now.,20,"tensor([[ 0.1806, -0.1174]])",not-offensive
74831,@USER Trump kicks dem butt - its so fun.,TIN,13,@USER Trump kicks dem butt - its so fun.,13,"tensor([[-0.7781,  0.8069]])",offensive
53264,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,TIN,27,@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.,27,"tensor([[-1.0409,  1.0137]])",offensive
28204,#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL,NOT,41,#Toxictory minister @USER attempted to expense £50 charity donation! It's what  @USER do!! @USER #Toriesmustgo #DissolveTheUnion  URL,41,"tensor([[ 1.2997, -1.3805]])",not-offensive
42024,@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍,NOT,69,@USER ur so straight forword man👌 i saw u in dance dewwane and ur just talk free ky ap kitnay porrany ho industry mein and i really like ur this quality that u even gather with ur senior💚 artist love for #Manmarziyaan 🤠👍,69,"tensor([[ 0.8514, -0.8876]])",not-offensive
84664,@USER And this from the clown that should be in prison?,TIN,15,@USER And this from the clown that should be in prison?,15,"tensor([[-0.8098,  0.7453]])",offensive
54842,@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL,NOT,35,@USER @USER @USER @USER did Twitter silence alex jones in retaliation of him asking Twitter jack questions  @USER @USER @USER @USER URL,35,"tensor([[ 0.8715, -0.8737]])",not-offensive
48995,@USER Thats because you are an old man.,TIN,13,@USER Thats because you are an old man.,13,"tensor([[-0.6170,  0.6290]])",offensive
47153,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,TIN,37,@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!,37,"tensor([[-0.5348,  0.4968]])",offensive
76826,"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either..""",NOT,94,"@USER @USER No you're not..you're here 2 represent the Alinskyite Orwellian Leftist Tool&amp;Fool view on things..like 99.9% of the Marxists&amp;Antifa similar 2U..psst! And B4U use the words fascist or fascism again go ahead &amp; read D'Souza's book The Big Lie""..right now U know SQUAT about either..""",94,"tensor([[ 0.1237, -0.1804]])",not-offensive
27645,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",NOT,30,"@USER I do remember. :( But somehow centrist"" antifa-haters can never quite seem to bring themselves to condemn such things.""",30,"tensor([[ 0.8242, -0.7356]])",not-offensive
20943,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,NOT,38,@USER I think the last thing on the WH or Trump's mind is April Ryan. She needs to stop flattering herself. She's not as important as she thinks she is.,38,"tensor([[ 0.3582, -0.2799]])",not-offensive
78064,@USER Principled conservatives are #Hypocrickets,NOT,12,@USER Principled conservatives are #Hypocrickets,12,"tensor([[ 0.3790, -0.3655]])",not-offensive
14122,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa,NOT,41,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER Don't forget @USER &amp; Democrat backed #Antifa,41,"tensor([[ 1.3252, -1.3150]])",not-offensive
72353,@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️,NOT,37,@USER She is a beautiful person to teach values to her kids. Teaching them they are royalty but keep to keep it from going to their heads. Stay real ❤️,37,"tensor([[ 1.4353, -1.3197]])",not-offensive
39051,@USER Bring out his Antifa criminal son to campaign for him,NOT,15,@USER Bring out his Antifa criminal son to campaign for him,15,"tensor([[ 0.1921, -0.2363]])",not-offensive
54546,@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.,NOT,62,@USER @USER I didn’t watch and will not watch @USER Watching the September 11th stories and how we came together and stood shoulder to shoulder made me proud even with all of our issues yet the people playing a damn game cannot stand for this moment—protest on a Saturday.,62,"tensor([[ 0.5137, -0.3934]])",not-offensive
50759,A tear is made of 1% water and 99% feelings.,NOT,15,A tear is made of 1% water and 99% feelings.,15,"tensor([[ 0.8368, -0.7724]])",not-offensive
75992,"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL",NOT,26,"@USER @USER Trump addresses gun control representing the NRA.  I will not let you down"" he says. URL",26,"tensor([[ 0.7095, -0.7990]])",not-offensive
45068,@USER She is drinking so much koolaid she’s bloated.,TIN,18,@USER She is drinking so much koolaid she’s bloated.,18,"tensor([[-0.3212,  0.3405]])",offensive
17259,@USER Holder needs to be prosecuted,NOT,9,@USER Holder needs to be prosecuted,9,"tensor([[ 0.3020, -0.2972]])",not-offensive
95225,@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!,NOT,28,@USER But... But... BOTH PLAYERS WERE WOMEN. And BOTH WERE WOMEN OF COLOR!,28,"tensor([[ 0.9953, -0.8767]])",not-offensive
84667,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,TIN,27,@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!,27,"tensor([[-0.5638,  0.5697]])",offensive
14574,*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,NOT,63,*babysitting 3 kids*  people:”how old do you think she is?” “she has three kids”  me:*dont get mad. don’t get mad. they don’t know. they don’t know*,63,"tensor([[ 0.7360, -0.6369]])",not-offensive
23784,@USER well...? URL,NOT,7,@USER well...? URL,7,"tensor([[ 1.2037, -1.1682]])",not-offensive
30115,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable.""",NOT,54,"@USER It's easily digestible content.   There's no need for nuance or to even understand the story.  They can show a picture of an ANTIFA"" and get the base level emotional response their content requires in order to be profitable.""",54,"tensor([[ 1.4870, -1.4884]])",not-offensive
69281,@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.,NOT,31,@USER @USER Try looking for plain old democrats.  The liberals are the ones which you can’t have a conversation with.,31,"tensor([[ 0.4512, -0.3595]])",not-offensive
15322,@USER Great news! Old moonbeam Just went into a coma! 😂,NOT,18,@USER Great news! Old moonbeam Just went into a coma! 😂,18,"tensor([[ 0.4298, -0.4555]])",not-offensive
75089,@USER OMG HE IS SO EXTRA ILY,NOT,12,@USER OMG HE IS SO EXTRA ILY,12,"tensor([[ 1.4328, -1.3519]])",not-offensive
21379,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,TIN,28,@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!,28,"tensor([[-0.4470,  0.3664]])",offensive
52102,@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!,NOT,32,@USER I know! She is still alive....but wondering if her career was railroaded? Odd! Loved her...especially that day!,32,"tensor([[ 1.3321, -1.2218]])",not-offensive
59537,@USER @USER Guy you are always present...bet why? Lol,NOT,16,@USER @USER Guy you are always present...bet why? Lol,16,"tensor([[ 1.4122, -1.3748]])",not-offensive
44209,@USER @USER what a baby! URL,NOT,11,@USER @USER what a baby! URL,11,"tensor([[ 0.5586, -0.4670]])",not-offensive
96664,@USER you are very persuasive fam,NOT,9,@USER you are very persuasive fam,9,"tensor([[ 1.1724, -1.1190]])",not-offensive
12559,@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL,NOT,37,@USER THAT'S NOTHING NEW SHE WAS GOING TO VOTE NO ANYWAY.....WE WILL VOTE NO TO LIBERALS IN NOVEMBER.... URL,37,"tensor([[ 1.0889, -1.0542]])",not-offensive
61914,@USER Burt. A cool dude.,NOT,11,@USER Burt. A cool dude.,11,"tensor([[ 0.7854, -0.8582]])",not-offensive
32317,#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.,NOT,24,#MAGA! IF YOU ARE ALL IN FOR #TRUMP FOLLOW ME AND I WILL FOLLOW BACK.,24,"tensor([[ 1.3415, -1.5667]])",not-offensive
94767,@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,NOT,33,@USER thank u!! i’m finally at the point where i’m okay with using heat on it again i’m so happy,33,"tensor([[ 1.5284, -1.5700]])",not-offensive
64835,@USER Kind of like what trump does all the time huh?,NOT,15,@USER Kind of like what trump does all the time huh?,15,"tensor([[ 0.3812, -0.3393]])",not-offensive
41353,@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,NOT,30,@USER Because a former Antifa in the white house and they do not arrest her and a citizen if they arrest someone explain to me.,30,"tensor([[ 0.7739, -0.7281]])",not-offensive
52252,@USER Fuck em,TIN,6,@USER Fuck em,6,"tensor([[-1.1943,  1.1567]])",offensive
91001,@USER Good move....he is the big loser,TIN,12,@USER Good move....he is the big loser,12,"tensor([[-0.9851,  0.9629]])",offensive
18495,@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce,NOT,51,@USER Let's get to the bottom of this! DM me your zipcode and I'll check it out.  We have your back and we will make sure you are enjoying the BEST that TV has to offer ASAP! *NevinBruce,51,"tensor([[ 1.7571, -1.7441]])",not-offensive
76680,@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.,NOT,45,@USER @USER @USER @USER For the record I know Doug Jones personally and he is only a Sen. Bc we had no other credible choice. He won’t be at the next election.,45,"tensor([[ 1.3286, -1.1793]])",not-offensive
66349,"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",UNT,70,"@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin."" noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash""",70,"tensor([[ 0.0169, -0.1248]])",not-offensive
80561,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,TIN,25,@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.,25,"tensor([[-0.8087,  0.7703]])",offensive
16052,@USER she is idk what's going on,NOT,12,@USER she is idk what's going on,12,"tensor([[ 1.2884, -1.1363]])",not-offensive
49996,@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL,NOT,68,@USER @USER Yall need to chill he is having a really abysmal 2nd half. Rizzo had an abysmal 1st half. Its baseball it happens. Does he have things he still needs to work on yes. Has the power numbers dropped yes..... but he could bounce back at anytime. URL,68,"tensor([[ 0.6722, -0.5980]])",not-offensive
77086,@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!,NOT,19,@USER Dude you are old!!! Lmao. PS: Go Pack Go!!!,19,"tensor([[ 0.2093, -0.1675]])",not-offensive
10972,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER That's why Trump supporters can't even wear a hat without being abused. If they meet the animals on the left attack them. Antifa is a branch of the Communist-Socialist-Nazis Democrat Party.,NOT,144,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER,100,"tensor([[ 1.2773, -1.2322]])",not-offensive
